Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,2.85,False,True,False,14
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.25,False,True,True,12
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,4.25,False,False,True,12
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,2.75,False,True,True,11
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,9.9,False,True,True,6
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,False,False,True,17
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,7.75,False,False,True,11
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,6.75,False,True,True,12
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,12.5,False,False,False,11
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.5,False,False,False,14
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,6.98,False,True,True,10
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,1.85,False,True,True,15
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,8.63,False,False,True,6
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,4.85,False,True,True,7
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,28.0,False,False,False,11
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,5.0,False,False,True,11
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,1.25,False,True,True,16
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.53,False,True,True,10
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,5.58,False,False,True,7
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.74,False,True,True,10
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,8.85,False,True,False,10
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,10.11,False,True,False,8
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.25,False,False,True,16
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,10.95,False,True,True,12
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,3.85,False,False,True,10
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,5.5,False,False,True,12
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,21.43,False,False,False,9
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.25,False,False,True,10
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,3.3,False,False,True,10
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,3.85,False,False,True,11
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,3.6,False,True,True,9
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,3.99,False,True,True,9
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,3.3,False,True,True,7
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,2.07,False,True,True,14
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,7.75,False,False,False,14
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,2.25,False,True,True,14
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,16.5,False,False,True,7
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,2.75,False,False,True,14
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,26.7,False,True,False,9
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,10.0,False,False,True,13
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,2.5,False,False,True,8
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,13.5,False,False,False,12
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,1.85,False,True,False,17
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,35.67,False,False,False,5
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,8.15,False,False,True,8
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,10.5,False,False,True,6
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,14.5,False,True,False,16
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,9.65,False,False,True,9
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,3.48,False,True,False,12
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,6.92,False,False,True,9
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,6.46,False,True,False,8
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,29.5,False,False,False,10
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,4.5,False,True,True,18
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,11.75,False,False,True,12
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,3.75,False,False,True,12
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,4.5,False,True,True,7
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.82,False,True,True,8
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,2.8,False,False,True,12
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,3.11,False,False,True,11
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,3.25,False,True,True,15
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,13.9,False,False,False,13
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,2.25,False,True,True,15
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,5.75,False,True,True,8
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,5.0,False,True,True,8
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,16.5,False,False,True,10
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,39.58,False,False,False,6
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,5.5,False,False,True,11
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,8.1,False,False,True,10
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,3.5,False,False,True,9
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,2.79,False,False,True,11
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,3.45,False,False,True,14
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.45,False,True,True,8
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,2.65,False,True,True,14
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,3.8,False,False,True,13
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.65,False,True,True,10
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,3.95,False,True,True,7
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,9.8,False,False,False,14
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,2.7,False,True,True,15
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,2.41,False,True,True,14
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,3.9,False,True,True,10
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,24.0,False,False,False,13
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,5.75,False,False,True,12
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,5.25,False,False,False,10
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,19.25,False,False,False,7
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,3.91,False,True,True,7
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,2.15,False,True,True,10
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,20.75,False,False,False,9
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,3.35,False,True,True,14
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.11,False,False,True,10
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,20.0,False,False,False,10
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,6.55,False,True,False,8
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,7.0,False,True,False,15
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,7.5,False,False,True,8
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,16.75,False,False,False,10
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,10.95,False,False,True,6
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,2.45,False,True,True,13
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,3.23,False,True,False,7
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,7.75,False,False,True,10
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,9.35,False,True,False,15
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,5.25,False,True,True,17
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,7.25,False,False,False,9
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,7.47,False,True,True,7
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,13.25,False,False,False,8
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,5.81,False,True,True,8
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,2.6,False,True,True,10
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,54.0,False,True,False,7
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,11.5,False,True,False,5
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,1.6,False,True,True,14
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,17.22,False,False,False,9
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,6.0,False,True,False,9
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,3.95,False,True,True,12
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,17.95,False,False,False,10
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,3.7,False,False,True,10
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,5.43,False,True,True,8
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,13.49,False,False,True,12
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,2.85,False,True,True,10
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.75,False,False,True,11
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,9.9,False,True,True,6
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,37.0,False,True,False,11
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,26.5,False,False,False,10
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,23.32,False,False,False,9
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,6.25,False,False,True,8
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,30.0,False,True,False,14
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,9.86,False,False,False,8
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,8.5,False,False,False,12
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.23,False,True,True,5
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,3.5,False,False,True,12
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,2.5,False,True,True,8
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,2.39,False,True,True,11
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.25,False,True,False,11
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,7.11,False,False,True,9
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,10.9,False,False,True,8
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,6.2,False,True,True,7
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,7.9,False,False,True,12
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.42,False,False,True,10
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,13.5,False,False,True,12
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,6.25,False,False,False,11
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,2.1,False,False,True,14
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,45.0,False,False,False,9
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,33.66,False,False,False,7
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,3.65,False,True,True,12
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,2.75,False,True,True,11
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,42.5,False,False,False,8
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,6.5,False,True,True,5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,19.0,False,False,False,12
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,4.45,False,True,False,11
176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,23.0,False,False,False,7
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,8.35,False,False,True,10
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,22.95,False,False,False,10
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,1.5,False,False,True,12
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,6.89,False,True,False,12
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,1.45,False,False,True,18
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,33.5,False,False,False,10
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,1.25,False,True,True,17
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,4.2,False,False,True,12
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,6.75,False,False,True,9
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,13.0,2143.0,201.1,5.0,32.0,False,False,False,10
187,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197.0,83.1,5.0,7.5,False,True,True,7
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582.0,126.32,5.0,4.6,False,False,True,12
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,First,19.81,1086.0,68.05,5.0,4.04,False,True,True,7
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,15.4,1997.0,120.0,7.0,10.31,False,False,True,8
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,12.7,2179.0,187.7,5.0,55.76,False,False,False,6
192,Ford Figo Diesel ZXI,Chennai,2010,120000,First,20.0,1399.0,68.0,5.0,2.6,False,False,True,14
193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248.0,88.5,7.0,8.5,False,False,True,8
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,First,0.0,1197.0,74.0,5.286452057152694,2.95,False,True,True,17
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,First,25.8,1498.0,98.6,5.0,3.5,False,False,True,10
196,Hyundai i10 Magna,Jaipur,2015,43571,First,20.36,1197.0,78.9,5.0,3.55,False,True,True,9
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,First,25.8,1498.0,98.6,5.0,3.25,False,False,True,11
198,Skoda Laura Ambiente,Hyderabad,2008,113000,First,17.5,1896.0,106.0,5.0,4.5,False,False,True,16
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,First,19.87,1461.0,83.8,5.0,5.35,False,False,True,10
200,Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493.0,100.0,7.0,6.5,False,False,True,7
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248.0,88.5,5.0,9.0,False,False,True,8
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,First,18.6,1197.0,81.83,5.0,6.0,False,True,True,8
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,First,14.7,1390.0,85.0,5.0,2.75,False,True,True,15
204,Tata Indigo eCS GLX,Pune,2010,70500,First,15.64,1193.0,64.1,5.0,1.5,False,True,True,14
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,First,15.73,1968.0,174.33,5.0,19.9,False,False,False,9
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,First,14.7,1798.0,177.5,5.0,10.0,False,True,False,10
207,Toyota Etios Liva GD SP,Delhi,2014,104000,First,23.59,1364.0,67.06,5.0,3.0,False,False,True,10
208,Maruti Swift 1.3 VXi,Kolkata,2010,42001,First,16.1,1197.0,74.0,5.286452057152694,2.11,False,True,True,14
209,Mercedes-Benz B Class B180,Kochi,2014,37245,First,14.8,1595.0,120.7,5.0,11.96,False,True,False,10
210,Honda Amaze S Diesel,Kolkata,2013,45000,First,27.4,1498.0,98.6,5.0,3.25,False,False,True,11
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Second,22.32,1582.0,126.32,5.0,4.75,False,False,True,12
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,First,20.46,1461.0,83.8,5.0,5.95,False,False,True,10
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Second,15.29,1591.0,121.3,5.0,8.15,False,True,True,9
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,First,20.51,998.0,67.0,5.0,4.22,False,True,False,8
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,First,11.74,1796.0,186.0,5.0,10.5,False,True,False,14
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,First,11.8,2967.0,246.7,5.0,45.0,False,False,False,12
217,Hyundai i10 Magna 1.1,Pune,2012,44000,Second,19.81,1086.0,68.05,5.0,2.9,False,True,True,12
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,First,14.3,1598.0,103.52,5.0,8.9,False,True,False,7
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798.0,177.46,5.0,26.0,False,True,False,7
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,First,17.19,1197.0,81.86,5.0,8.22,False,True,True,6
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Second,25.8,1498.0,98.6,5.0,3.5,False,False,True,10
222,Maruti Wagon R LXI,Chennai,2004,61000,Second,18.9,998.0,67.1,5.0,1.25,False,True,True,20
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,21.03,1461.0,65.0,5.0,3.7,False,False,True,11
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,First,19.27,2143.0,167.62,5.0,39.41,False,False,False,6
225,Maruti Wagon R VXI,Kolkata,2013,32000,First,22.5,998.0,67.04,5.0,2.65,False,True,True,11
